387,"Water, air, space transportation",3
388,Transportation,3
389,Metrology and standardization,3
390,"Customs, etiquette, folklore",3
391,Costume and personal appearance,3
392,Customs of life cycle and domestic life,3
393,Death customs,3
394,General customs,3
395,Etiquette (Manners),3
396,[Unassigned],3
397,[Unassigned],3
398,Folklore,3
399,Customs of war and diplomacy,3
400,Language,3
401,Philosophy and theory,3
402,Miscellany,3
403,Dictionaries & encyclopedias,3
404,Special topics of language,3
405,Serial publications,3
406,Organizations and management,3
407,"Education, research, related topics",3
408,Groups of people,3
409,Geographic treatment and biography,3
410,Linguistics,3
411,Writing systems,3
412,Etymology,3
413,Dictionaries,3
414,Phonology & phonetics,3
415,Grammar,3
416,[Unassigned],3
417,Dialectology and historical linguistics,3
418,Applied linguistics,3
419,Sign languages,3
420,English & Old English (Anglo-Saxon),3
421,"Writing system, phonology, phonetics",3
422,Etymology of standard English,3
423,Dictionaries of standard English,3
424,[Unassigned],3
425,Grammar of standard English,3
426,[Unassigned],3
427,English language variations,3
428,Standard English usage,3
429,Old English (Anglo-Saxon),3
430,German and related languages,3
431,"Writing system, phonology, phonetics",3
432,Etymology of standard German,3
433,Dictionaries of standard German,3
434,[Unassigned],3
435,Grammar of standard German,3
436,[Unassigned],3
437,German language variations,3
438,Standard German usage,3
439,Other Germanic languages,3
440,French & related Romance languages,3
441,"Writing system, phonology, phonetics",3
442,Etymology of standard French,3
443,Dictionaries of standard French,3
444,[Unassigned],3
445,Grammar of standard French,3
446,[Unassigned],3
447,French language variations,3
448,Standard French usage,3
449,"Occitan, Catalan, Franco-Provençal",3
450,"Italian, Romanian & related languages",3
451,"Writing system, phonology, phonetics",3
452,Etymology of standard Italian,3
453,Dictionaries of standard Italian,3
454,[Unassigned],3
455,Grammar of standard Italian,3
456,[Unassigned],3
457,Italian language variations,3
458,Standard Italian usage,3
459,"Romanian, Rhaetian, Sardinian, Corsican",3
460,"Spanish, Portuguese, Galician",3
461,"Writing system, phonology, phonetics",3
462,Etymology of standard Spanish,3
463,Dictionaries of standard Spanish,3
464,[Unassigned],3
465,Grammar of standard Spanish,3
466,[Unassigned],3
467,Spanish language variations,3
468,Standard Spanish usage,3
469,Portuguese,3
470,Latin and related Italic languages,3
471,"Writing system, phonology, phonetics",3
472,Etymology of classical Latin,3
473,Dictionaries of classical Latin,3
474,[Unassigned],3
475,Grammar of classical Latin,3
476,[Unassigned],3
477,"Old, postclassical, Vulgar Latin",3
478,Classical Latin usage,3
479,Other Italic languages,3
480,Classical Greek; Hellenic languages,3
481,"Writing system, phonology, phonetics",3
482,Etymology of classical Greek,3
483,Dictionaries of classical Greek,3
484,[Unassigned],3
485,Grammar of classical Greek,3
486,[Unassigned],3
487,Preclassical and postclassical Greek,3
488,Classical Greek usage,3
489,Other Hellenic languages,3
490,Other languages,3
491,East Indo-European and Celtic languages,3
492,Afro-Asiatic languages,3
493,Non-Semitic Afro-Asiatic languages,3
494,"Altaic, Uralic, Hyperborean & Dravidian",3
495,Languages of east and southeast Asia,3
496,African languages,3
497,North American native languages,3
498,South American native languages,3
499,Austronesian & other languages,3
500,Natural sciences and mathematics,3
501,Philosophy and theory,3
502,Miscellany,3
503,Dictionaries & encyclopedias,3
504,[Unassigned],3
505,Serial publications,3
506,Organizations and management,3
507,"Education, research, related topics",3
508,Natural history,3
509,"History, geographic treatment, biography",3
510,Mathematics,3
